nama_produk,text,label,gold_label,match_key,group_key,label_id,kb_label,kb_binary_label,kb_confidence,kb_allergen_categories,kb_matched_terms,kb_evidence_methods,_product_key_v5,audit_text_norm_v5,audit_text_hash_v5,leakage_component_id,prob_unsafe,predicted_label,gold_binary,kb_binary,model_binary,error_triage
butter cookies,"Tepung Terigu, Mentega (24.27%), Gula, Telur, Kelapa Parut, Pengembang
(Amonium Bikarbonat dan
Natrium Bikarbonat), Sirup Glukosa, Garam, Kismis, Perisa Sintetik Vanila. ""Mengandung Alergen, Lihat daftar bahan yang dicetak tebal""",unsafe,unsafe,butter cookies,butter cookies,1,unsafe,1,1.0,Dairy;Egg;Gluten,tepung terigu;mentega;telur,exact/synonym;exact/synonym;exact/synonym,butter cookies,"tepung terigu, mentega (24.27%), gula, telur, kelapa parut, pengembang (amonium bikarbonat dan natrium bikarbonat), sirup glukosa, garam, kismis, perisa sintetik vanila. mengandung alergen, lihat daftar bahan yang dicetak tebal",a9e25b110ec49decf56a5a61e58e6614584d2e38b3554ea8b5d51cbc9f209877,28,0.9934284090995789,unsafe,1,1,1,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
dailymeal nasi jagung,"Tepung Jagung (65,8%), Singkong (31,2%), Air, Minyak Kelapa Sawit, Pengemulsi (Fosfat, Nabati)",safe,safe,dailymeal nasi jagung,dailymeal nasi jagung,0,safe,0,0.0,,,,dailymeal nasi jagung,"tepung jagung (65,8%), singkong (31,2%), air, minyak kelapa sawit, pengemulsi (fosfat, nabati)",7c2513047b85adcb22ac792b53b80bf1040076cc629e8a4ebf10589265f54cde,52,0.0284721776843071,safe,0,0,0,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
dailymeal nasi singkong,"Singkong (64.92%). Tepung Jagung, Tepung Maizena. Minyak Kelapa Sawit, Air, Pengemulsi",safe,safe,dailymeal nasi singkong,dailymeal nasi singkong,0,safe,0,0.0,,,,dailymeal nasi singkong,"singkong (64.92%). tepung jagung, tepung maizena. minyak kelapa sawit, air, pengemulsi",7fc986f87e39434a9ffdea585ef3126b960bca74730f80a1359da42d469df8c2,53,0.05179972946643829,safe,0,0,0,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
dark chocolate cookies,"Tepung Gandum Utuh, Tepung Beras Putih, Coklat Cair, Coklat Bubuk, Krimer Nabati, Gula, Lemak Coklat,
dan Garam.",safe,safe,dark chocolate cookies,dark chocolate cookies,0,unsafe,1,1.0,Gluten,tepung gandum,exact/synonym,dark chocolate cookies,"tepung gandum utuh, tepung beras putih, coklat cair, coklat bubuk, krimer nabati, gula, lemak coklat, dan garam.",10cc27d7116225ab02440b5728aaee63a87e03152ce1e0930be7bacb7745b4c5,54,0.9628791809082031,unsafe,0,1,1,KB_FALSE_POSITIVE_MODEL_FALSE_POSITIVE
fukumi beras porang,"Tepung porang (48%), tepung beras, air",safe,safe,fukumi beras porang,fukumi beras porang,0,safe,0,0.0,,,,fukumi beras porang,"tepung porang (48%), tepung beras, air",d3e14429a866c5eabb5cad604df303494cb41f03ad8c58686784b94f484b66a1,66,0.5094489455223083,unsafe,0,0,1,KB_CORRECT_MODEL_FALSE_POSITIVE
kemplang ikan koin,"Ikan Tenggiri, Sagu, Garam, Minyak Nabati",safe,safe,kemplang ikan koin,kemplang ikan koin,0,unsafe,1,1.0,Fish,ikan,exact/synonym,kemplang ikan koin,"ikan tenggiri, sagu, garam, minyak nabati",2711ed8849c7bfd15fe9d5fbc2b60c9790426347c54b401fa6000cc45eea1505,97,0.345802903175354,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
kemplang udang,"Udang, Sagu, Garam, Minyak Nabati",safe,safe,kemplang udang,kemplang udang,0,unsafe,1,1.0,Crustacean,udang,exact/synonym,kemplang udang,"udang, sagu, garam, minyak nabati",e7d7f50e095010be145db8087747a197b88fc80ad62b1c8715d9ce1b83e6a4fb,98,0.5880041122436523,unsafe,0,1,1,KB_FALSE_POSITIVE_MODEL_FALSE_POSITIVE
kentang home,"Kentang, Minyak Kelapa Sawit (Mengandung Antioksidan Tokoferol), Dekstrosa",safe,safe,kentang home,kentang home,0,safe,0,0.0,,,,kentang home,"kentang, minyak kelapa sawit (mengandung antioksidan tokoferol), dekstrosa",dc3913126a49de8f045cfbf16b8c214ba830183def0dbe14ecad80e375287d21,99,0.7046682834625244,unsafe,0,0,1,KB_CORRECT_MODEL_FALSE_POSITIVE
keripik singkong karuhun,"keripik singkong pilihan, daun jeruk, garam, cabai, minyak goreng, rempah, bawang putih.",safe,safe,keripik singkong karuhun,keripik singkong karuhun,0,safe,0,0.0,,,,keripik singkong karuhun,"keripik singkong pilihan, daun jeruk, garam, cabai, minyak goreng, rempah, bawang putih.",db8a318f6bd94b860241c23c8aa2f1b8a1b612279f6a1da401d5b684cf1d417f,100,0.03698377683758736,safe,0,0,0,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
keripik ubi ungu,"Singkong Pilihan, Minyak Nabati, Garam, Gula Pasir",safe,safe,keripik ubi ungu,keripik ubi ungu,0,safe,0,0.0,,,,keripik ubi ungu,"singkong pilihan, minyak nabati, garam, gula pasir",0019c079a9ab4449c39cea768d2cb45482554f162d8d5b255c811c961f9ed203,103,0.12369266152381897,safe,0,0,0,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
kerupuk balado pedas,"Ikan Tenggiri, Sagu, Garam, Minyak Nabati, Cabe Merah, Bawang Merah",safe,safe,kerupuk balado pedas,kerupuk balado pedas,0,unsafe,1,1.0,Fish,ikan,exact/synonym,kerupuk balado pedas,"ikan tenggiri, sagu, garam, minyak nabati, cabe merah, bawang merah",5094306ddce619454bbafd3ebd6473d9b12d76030f1870630677ea83aefa497e,104,0.16609923541545868,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
kerupuk pilus,"Ikan Tenggiri, Sagu Garam, Minyak Goreng.",safe,safe,kerupuk pilus,kerupuk pilus,0,unsafe,1,1.0,Fish,ikan,exact/synonym,kerupuk pilus,"ikan tenggiri, sagu garam, minyak goreng.",4256f6ef97697d1eea0a59cd0f83c56cb1561a94624a0776bf065acce8a99d24,107,0.19828654825687408,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
kingsfisher kornet tuna,"Ikan Tuna/Tuna Fish (70%), Air/Water,
Kaldu Nabati/Vegetable Broth, Garam/Salt (0.7%), Penguat Rasa (Mononatrium Glutamat) / Flavor Enhancer (Monosodium Glutamate),",safe,safe,kingsfisher kornet tuna,kingsfisher kornet tuna,0,unsafe,1,1.0,Fish,fish,exact/synonym,kingsfisher kornet tuna,"ikan tuna/tuna fish (70%), air/water, kaldu nabati/vegetable broth, garam/salt (0.7%), penguat rasa (mononatrium glutamat) / flavor enhancer (monosodium glutamate),",b2cd466f47845a8a269fb8050b6884c19097f40ca2743694c441ad944b8c3ec8,111,0.019921600818634033,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
mayonais,"Minyak Kedelai (Mengandung Antioksidan Askorbil Palmitat), Air, Kuning Telur Gula (Mengandung Pengawet Sulfit), Garam, Pengatur Keasaman (Asam Asetat dan Asam Laktat), Penguat Rasa Mononatrium Glutamat, Pengental Gom Xanthan, Minyak Mustard, Sekuestran Kalsium Dinatrium EDTA, Perisa Alami Paprika.",safe,safe,mayonais,mayonais,0,unsafe,1,1.0,Egg;Soy,telur;kedelai,exact/synonym;exact/synonym,mayonais,"minyak kedelai (mengandung antioksidan askorbil palmitat), air, kuning telur gula (mengandung pengawet sulfit), garam, pengatur keasaman (asam asetat dan asam laktat), penguat rasa mononatrium glutamat, pengental gom xanthan, minyak mustard, sekuestran kalsium dinatrium edta, perisa alami paprika.",e1037d25cec45c7f0b6bf984453f6ffce34d08f5700a46ee6d1561548fd1c974,158,0.6582761406898499,unsafe,0,1,1,KB_FALSE_POSITIVE_MODEL_FALSE_POSITIVE
my jelly,"Air, Gula (19.5%), Nata De Coco (7.14%), Jeli Bubuk, Pengatur Keasaman (Asam sitrat), Perisa Sintetik (Stroberi, Lea, Melon), Tepung Konyaku, Pewarna Sintetik (Tartrazin CI 19140, Merah Allura CI 16035, Biru berlian FCF CI 42090). Tanpa Pengawet dan Tanpa Pemanis Buatan. Diproduksi menggunakan peralatan yang juga memproses susu.",safe,safe,my jelly,my jelly,0,unsafe,1,1.0,Dairy,susu,exact/synonym,my jelly,"air, gula (19.5%), nata de coco (7.14%), jeli bubuk, pengatur keasaman (asam sitrat), perisa sintetik (stroberi, lea, melon), tepung konyaku, pewarna sintetik (tartrazin ci 19140, merah allura ci 16035, biru berlian fcf ci 42090). tanpa pengawet dan tanpa pemanis buatan. diproduksi menggunakan peralatan yang juga memproses susu.",8ced3776662683cf9016635ac87f7d33748ccc20be559ea1e62b5730d2d2c755,180,0.004558238200843334,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
nata de coco,"Sari Kelapa (50%), Air, Gula, Perisa
Sintetik Cocopandan, Pengatur Keasaman (Asam Sitrat), Pengawet Natrium Benzoat, Madu (0.01 %).
Tanpa Pemanis Buatan.",safe,safe,nata de coco,nata de coco,0,safe,0,0.0,,,,nata de coco,"sari kelapa (50%), air, gula, perisa sintetik cocopandan, pengatur keasaman (asam sitrat), pengawet natrium benzoat, madu (0.01 %). tanpa pemanis buatan.",24f4a9a4d908e727725370ad050a0b8e042be020e5fba6c5fcc689a0e2f606b7,182,0.005608057603240013,safe,0,0,0,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
poco loco salted tortilla chips,"Jagung, Minyak Nabati, Garam(1%)",safe,safe,poco loco salted tortilla chips,poco loco salted tortilla chips,0,safe,0,0.0,,,,poco loco salted tortilla chips,"jagung, minyak nabati, garam(1%)",292a5f83da816c4ee5d9edc26cd524070e13890cb6d1b49f99e7b7629ddd50d3,218,0.40945225954055786,safe,0,0,0,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
qtela singkong ori,"Singkong (63.5%), Minyak Olein Kelapa Sawit, Bumbu (mengandung Gula, Penguat Rasa Mononatrium Glutamat, Bubuk Bawang Putih, Bubuk Bawang Bombay, Penguat Rasa Dinatrium Guanilat dan Dinatrium Inosinat), Garam (0.63%).",safe,safe,qtela singkong ori,qtela singkong ori,0,safe,0,0.0,,,,qtela singkong ori,"singkong (63.5%), minyak olein kelapa sawit, bumbu (mengandung gula, penguat rasa mononatrium glutamat, bubuk bawang putih, bubuk bawang bombay, penguat rasa dinatrium guanilat dan dinatrium inosinat), garam (0.63%).",1e646bcac9889fdd119d53a10ba5d6fecd4221c26001fcf2d9c3c3647f94dff6,226,0.20157180726528168,safe,0,0,0,GOLD_CORRECT_KB_CORRECT_MODEL_CORRECT
rumput laut mama suka,"Rumput Laut (47%), Minyak Jagung, Garam Gurih (5%) (mengandung Penguat Rasa Mononatrium Glutamat, Dinatrium Inosinat dan Guanilat), Minyak Zaitun (4%), Minyak Wijen.",safe,safe,rumput laut mama suka,rumput laut mama suka,0,unsafe,1,1.0,Sesame,wijen,exact/synonym,rumput laut mama suka,"rumput laut (47%), minyak jagung, garam gurih (5%) (mengandung penguat rasa mononatrium glutamat, dinatrium inosinat dan guanilat), minyak zaitun (4%), minyak wijen.",b129072f890f2467360c2752ab43901eb993947c9772c2d957622540f1391776,229,0.9925397634506226,unsafe,0,1,1,KB_FALSE_POSITIVE_MODEL_FALSE_POSITIVE
sardines abc ekstra pedas,"Ikan Sarden (51%), saus cabai (mengandung penguat rasa mononatrium glutamat) (41%), gula, bawang putih, bawang bombay, garam, cabai rawit (1%)",safe,safe,sardines abc ekstra pedas,sardines abc ekstra pedas,0,unsafe,1,1.0,Fish,sarden,exact/synonym,sardines abc ekstra pedas,"ikan sarden (51%), saus cabai (mengandung penguat rasa mononatrium glutamat) (41%), gula, bawang putih, bawang bombay, garam, cabai rawit (1%)",5f613ea5b4a117e9f0afe23db23f38e88f258365182641df89d5538f18fdcc61,230,0.1817900687456131,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
Bakso sapi Karawaci,"Kandungan: Daging sapi (70%), es batu, tepung tapioka (mengandung pengawet sulfit), garam, penyedap rasa mononatrium glutamat, merica putih, bawang putih, bahan penstabil fosfat, pengawet kalium sorbat.",safe,safe,bakso sapi karawaci,bakso sapi karawaci,0,unsafe,1,0.95,,,,bakso sapi karawaci,"kandungan: daging sapi (70%), es batu, tepung tapioka (mengandung pengawet sulfit), garam, penyedap rasa mononatrium glutamat, merica putih, bawang putih, bahan penstabil fosfat, pengawet kalium sorbat.",803851f0536e9a122a70c09efda98213a82a468d22475854527c0552626a80e0,5,0.0054312460124492645,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
Bakso Sapi Karawaci,"Bahan-bahan: Olahan daging sapi (70%), air beku, pati singkong (dengan tambahan pengawet sulfit), garam dapur, penambah cita rasa mononatrium glutamat, bubuk lada putih, umbi bawang putih, zat penstabil fosfat, bahan pengawet kalium sorbat.",safe,safe,bakso sapi karawaci,bakso sapi karawaci,0,unsafe,1,0.95,,,,bakso sapi karawaci,"bahan-bahan: olahan daging sapi (70%), air beku, pati singkong (dengan tambahan pengawet sulfit), garam dapur, penambah cita rasa mononatrium glutamat, bubuk lada putih, umbi bawang putih, zat penstabil fosfat, bahan pengawet kalium sorbat.",41bba17f39e86c8e0f6b1a23ef5ab8cf43d46fe0aabf1e19c3ca1d9382e165bf,5,0.003946220502257347,safe,0,1,0,KB_FALSE_POSITIVE_MODEL_CORRECT
